Feature\Sample,CSM5FZ3N_P_profile,CSM5FZ3T_P_profile,CSM5MCVB_P_profile,CSM5MCU4_P_profile,CSM5MCWA_P_profile,CSM5MCWK_P_profile,CSM5MCXF_P_profile,CSM67U9V_P_profile,CSM67U9X_P_profile,CSM67UCU_P_profile,CSM67UAI_P_profile,CSM79HHO_profile,CSM79HH2_P_profile,CSM79HG7_P_profile,CSM79HHW_P_profile,CSM79HKX_profile,CSM79HJI_P_profile,CSM79HNY_P_profile,CSM7KOQP_P_profile,CSM7KOTO_profile,ESM5MEDZ_P_profile,ESM5GEYX_P_profile,ESM5GEYY_P_profile,ESM5MEDN_profile,ESM5MEB9_P_profile,ESM7F5AE_P_profile,ESM718U9_P_profile,HSM5FZBQ_P_profile,HSM5MD4U_P_profile,HSM5MD4B_P_profile,HSM5MD7Z_P_profile,HSM5MD8J_P_profile,HSM5MD8F_P_profile,HSM5MD3L_P_profile,HSM5MD5X_P_profile,HSM6XRQB_P_profile,HSM6XRR3_profile,HSM67VID_profile,HSM7CYWS_P_profile,HSM7CZ2V_P_profile,HSM7J4Q1_profile,HSM7J4J7_profile,HSM7J4LP_profile,HSMA33IE_profile,MSM5LLDI_profile,MSM5FZ9N_P_profile,MSM5FZ9X_P_profile,MSM5LLHR_P_profile,MSM5LLIC_P_profile,MSM5LLIS_P_profile,MSM5LLFG_P_profile,MSM5LLF2_P_profile,MSM6J2RG_P_profile,MSM79HBX_P_profile,MSM9VZLX_P_profile,MSM9VZM4_P_profile,MSM9VZJJ_P_profile,PSM6XBQM_P_profile,PSM6XBRK_P_profile,PSM6XBRM_P_profile,PSM6XBVY_P_profile,PSM7J1BJ_profile,PSM7J1B3_P_profile,PSM7J13I_profile,PSM7J4EF_profile
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia,0.0,0.0,0.0,0.0,0.57545,0.0,0.0,0.0,0.00594,0.0,0.0,0.18046,0.1733,0.0,0.0,0.00315,0.21309,1.76279,0.0,0.0,0.0,0.00393,0.0,0.29481,0.0,0.09837,23.72138,0.0,0.03412,0.12462,0.0,3.41481,0.0,0.0,1.05875,0.0,0.93313,0.0,0.0,0.01519,0.0,0.0,0.0,0.0,0.0,0.0,10.93618,0.0,0.83049,0.0,0.47528,0.00244,0.0,1.19759,0.0,0.0,0.0,0.0,0.0,0.0,0.08676,0.0,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,0.0,0.0,0.0,0.0,0.0,0.02758,0.07046,0.0,0.0,0.0,0.0,0.01914,0.0,0.0,0.0,0.00317,0.0,0.0,0.0,0.0,0.07464,0.15019,0.47463,0.0,2.63337,0.02078,0.0,0.24989,0.0,1.65915,0.20798,0.0,0.02065,0.09602,0.12036,0.0,0.0,0.07113,0.00821,0.0,0.05375,0.0,70.95662,0.0,0.0,2.06081,0.01058,0.0,0.25047,0.0,0.0,0.14808,0.0,0.0,0.03414,0.0,0.0,0.40226,0.0,0.07583,0.62913,20.69515,0.03218,0.0,0.22296
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium,0.28115,0.0,0.02569,0.61284,0.03076,0.57754,0.47588,0.56909,0.41412,0.14159,0.0,0.09471,0.0372,0.15851,0.0,1.52981,0.1652,0.66697,1.52391,1.85915,0.11977,0.76467,0.0,0.63165,0.15767,0.34698,0.0,0.0,0.0,1.52242,0.0,0.0,0.52347,0.02029,0.1258,5.84997,0.0545,0.03764,2.59224,0.00372,0.02791,0.11596,0.0,0.3379,0.49282,0.0,6.23683,0.7395,1.86851,0.70587,1.4988,0.0,0.0,0.5235,0.10811,0.0,0.53095,0.02286,4.91721,1.03418,0.01547,0.0,0.3557,0.01466,0.77435
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium,1.96023,2.75757,0.0,2.85957,0.0,0.03084,0.0,0.0,0.00429,0.0,53.58168,0.0,0.71798,0.0,0.36003,0.0,3.43084,0.0,0.0,0.00347,0.06391,0.0,0.33917,0.09631,0.11289,0.0114,0.08131,0.36188,3.12929,0.02044,0.05038,0.40359,0.12256,1.02964,0.16286,6.01834,0.40983,0.0,0.0,0.00701,0.0,0.18445,0.0,0.10002,0.03756,6.30868,6.60279,0.25932,0.09425,0.0,0.42746,0.17507,2.06241,0.01942,0.00114,0.0,0.54156,0.0,0.0,0.0,0.2293,1.73798,0.0,0.05072,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor,0.66888,0.6273,0.03422,5.06473,11.59495,0.24418,1.54548,0.10351,0.30109,0.06443,3.60925,0.032,3.97796,0.0,0.49087,0.17922,0.39377,0.00443,0.0,0.17185,0.04387,0.0,0.51991,0.49386,0.0,0.40283,2.78042,0.03914,2.7182,1.07124,0.14884,1.31086,0.40824,0.04693,0.76706,4.21473,0.00452,0.0,0.10144,0.48678,0.02354,0.11479,0.0,0.1245,0.67988,11.59156,3.32833,0.31964,0.05807,0.0,1.44085,4.35939,0.0,0.0,0.71531,0.0,0.68888,0.10498,0.2815,0.0,0.20498,1.28356,0.15958,1.42135,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus,0.35843,0.0,0.0,0.80355,0.0558,0.12931,0.0,4.07464,0.62678,0.19697,0.0,0.03058,0.03692,3.17945,0.0,0.28031,0.01776,0.48626,0.0,0.04444,0.0,0.0,0.0,0.0,0.0,0.05805,0.0,0.0,0.0,0.06429,0.0035,0.0,0.10121,0.90301,0.1071,0.0,0.0,0.00528,0.08483,0.35147,0.0,0.0,0.0,0.0,0.0,0.36704,0.0,0.25484,1.09863,0.0,0.0,0.0,0.0,0.0,0.00627,0.0,0.0,0.0,0.12363,0.14692,4.62823,0.0,0.06031,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella,0.0,0.0,0.0,0.0,0.63211,0.10006,0.0,0.0,0.0,0.0,0.86345,0.0,0.0,0.0,0.0,0.0,0.1102,0.0,0.0,0.0,0.0,2.10506,9.50971,0.13528,0.0,0.0,0.0,0.70748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01012,0.0,0.0,0.0,0.00654,0.0,0.0,0.0,0.0,0.0,36.82753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09416,0.0,0.0,0.0,0.97108,0.0,0.0,0.0,12.94053,1.17864,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella,0.0,0.0,0.0,0.0,0.0,0.83779,0.0,0.0,0.0,0.0,0.0,6.65536,0.0224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62006,0.0,0.0,0.0,1.18403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12603,0.08277,6.13022,0.0,0.0,9.87567,0.0,0.0,0.0,0.05871,1.82748,0.05358,0.0,0.0,0.0,0.08197,0.0,0.0,2.98194,0.0,0.60474,0.0,0.0,0.0,0.14778,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira,0.0,0.0,0.0,0.0,5.51949,0.0,0.0,1.14376,0.00316,0.0,0.0,0.0,0.17372,0.0,1.17617,0.06148,0.09511,0.0,33.21883,0.0,0.0,0.0,0.0,0.10062,0.0,0.03133,0.0,0.0,0.0,0.0,0.01278,0.0,0.0,0.0,0.09372,0.0,0.49905,0.0,0.37912,0.01247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02191,0.008,0.26534,0.0,0.01373,0.0,0.0,0.0,0.0,0.0,0.0,0.80721,0.0,0.0,0.0,0.00398,0.0,7.7476
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified,0.0,0.0,0.0,0.0,0.21207,1.95629,0.08076,0.0,0.08575,0.25627,0.0,10.24914,0.0789,0.81513,0.0,0.0,0.27159,1.98258,0.0,0.00553,0.0,2.49072,0.0,0.32524,0.04395,0.63659,0.0,0.0,0.0,0.0,0.0,0.01409,1.92333,0.11031,0.00161,0.0,0.0,7.299,0.0204,0.02641,0.24145,0.0,0.0,0.03052,0.0,0.0,0.0,0.06613,0.0,0.01175,0.17606,0.0,0.0,0.08931,0.0,0.0,0.08176,0.0,0.0,0.0,0.22857,0.0,0.17141,0.0,0.0
