Feature\Sample,CSM5FZ4E_P_profile,CSM5FZ4A_P_profile,CSM5MCUQ_P_profile,CSM5MCTZ_P_profile,CSM5MCXB_P_profile,CSM5MCYU_P_profile,CSM67U9T_P_profile,CSM79HNE_profile,CSM7KOP6_profile,CSM79HQR_P_profile,CSM7KOQ5_P_profile,CSM7KOUJ_P_profile,ESM5MEEJ_P_profile,ESM5MEAB_P_profile,ESM5MEC7_P_profile,HSM5MD87_P_profile,HSM6XRQE_P_profile,HSM7CZ1T_P_profile,HSM7CZ2X_P_profile,HSM7J4JT_P_profile,HSM7J4JV_P_profile,HSMA33NW_profile,MSM5LLHV_P_profile,MSM5LLIQ_P_profile,MSM6J2N6_P_profile,MSM79HF1_P_profile,MSM79H9U_P_profile,MSM79HBZ_profile,MSM79HD6_P_profile,MSM9VZN4_P_profile,MSM9VZLZ_profile,MSM9VZJF_P_profile,MSMA267V_profile,PSM6XBSE_P_profile,PSM6XBSG_P_profile,PSM7J1BV_profile,PSMA264O_profile,PSMA265X_profile
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia,0.0,0.05437,0.61316,0.0,0.00718,19.89953,0.06951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00875,0.0,0.0,0.12604,0.0,0.0,0.01509,0.0,4.65323,0.0,0.0,0.06423,0.00154,0.0,0.0,0.0,0.0,0.0,0.07229,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,0.0,0.0,0.0,0.05649,0.05158,0.0,0.0,0.0,0.0,6.62628,0.0,0.00647,0.03981,0.52146,0.05894,0.07967,0.0,0.0,0.00762,0.0,0.01013,0.0,0.0,0.0,0.07662,0.32129,0.00477,0.0,0.39874,0.15483,0.53043,0.0,0.00452,0.01411,0.01582,0.0,0.08789,0.00724
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium,0.65844,0.07424,0.51855,1.25138,3.89688,0.35847,0.0,0.31395,0.68219,12.60949,0.0,0.59362,0.3748,4.49063,0.1197,2.32122,0.0,0.17223,1.02183,0.20183,2.62352,0.03565,0.85172,0.0,0.26689,0.55414,0.33634,0.0,0.77431,3.8434,0.0,8.48184,0.97556,0.95221,0.41432,0.54363,0.40247,0.83372
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium,0.11853,0.08398,0.17008,0.00144,0.01759,0.00323,0.13193,0.0,0.0,0.0,0.24022,0.01357,0.07778,0.6053,0.00588,0.02638,0.0,0.12101,0.28313,0.02476,0.0,0.15658,0.17199,0.0,0.0,0.0,0.0,0.0,0.04721,0.0,0.0,0.04586,0.0,0.04193,0.0,0.0,0.1021,0.03293
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor,0.09501,1.24108,0.21778,0.08641,0.06016,0.79976,1.51485,0.04828,0.13168,0.0,2.14778,0.01213,1.03652,0.45118,1.18711,1.96742,0.0,0.41971,0.71203,0.25827,0.01784,1.0536,0.68448,0.0,0.0,0.0,0.00435,0.0,0.12665,0.05051,0.0,0.44958,0.04964,0.21004,0.04857,0.0,0.70433,1.25287
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus,0.44859,0.02652,1.55129,0.55769,3.24903,0.0,0.0,0.0,1.31768,0.84428,0.61594,0.29576,0.0,0.0,0.08993,0.31525,0.0,0.52126,0.01859,0.0,0.0,0.0,1.46476,0.0,0.0014,3.51441,0.42031,0.0,0.22277,0.4207,0.0,0.11141,1.49462,0.0,0.0,0.31289,0.0,0.16867
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59542,13.66635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella,0.0,0.0,0.0,3.18652,0.0,0.0,0.0,0.0,0.0,0.0,0.01257,0.00931,0.0,0.01114,0.02009,0.0,0.0,0.0,0.0,2.4094,0.0,0.0,0.0,0.0,0.68228,0.46592,0.53431,0.0,0.0,0.0,0.0,0.0,1.30118,3.38534,0.0,2.89169,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira,0.0,0.15854,0.21535,0.0,1.09101,0.0,0.0,0.0,0.28447,0.0,0.07331,0.0,0.0,0.0,0.34908,0.0,0.0,0.06448,0.0,0.0,0.0,0.24889,0.6149,6.46917,0.0,1.07827,0.65646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified,0.34085,0.01035,1.5937,0.0,0.02793,0.26644,1.39516,0.0,0.81303,0.0,0.0,0.0,0.0006,0.0,0.03229,0.45832,0.0,0.02765,0.0,0.00057,0.0,0.03281,1.20634,0.0,0.0,1.83455,0.0,0.0,0.0,0.0,0.0,0.17009,25.4763,0.0,0.39774,0.0,0.0,0.00399
